# epoch recerr_sq kldiv lact_dec valid_recerr_sq valid_kldiv duration
201 4.5402473e-01 9.9166855e+01 1.2151508e+01 3.9070603e-01 1.0061539e+02 1.9667702e+03
202 4.4187829e-01 1.0063232e+02 1.2300251e+01 5.0565809e-01 9.9777634e+01 1.9769836e+03
203 6.9819289e-01 1.0094572e+02 1.2141973e+01 6.8249625e-01 9.8984940e+01 1.9866813e+03
204 5.1833677e-01 9.9942558e+01 1.1890209e+01 4.0031067e-01 9.9336525e+01 1.9955268e+03
205 4.2714339e-01 9.9653152e+01 1.1961411e+01 3.9438182e-01 1.0000246e+02 2.0041869e+03
206 4.5237190e-01 1.0039251e+02 1.1834528e+01 4.5025727e-01 1.0229052e+02 2.0146192e+03
207 5.0093448e-01 1.0172649e+02 1.1746274e+01 3.9745301e-01 1.0251951e+02 2.0225562e+03
208 4.1550380e-01 1.0274305e+02 1.1807783e+01 5.0659025e-01 1.0174332e+02 2.0323052e+03
209 5.6077319e-01 1.0314217e+02 1.1712734e+01 4.9492630e-01 1.0231064e+02 2.0407234e+03
210 5.0122297e-01 1.0271101e+02 1.1410087e+01 5.7258618e-01 1.0347516e+02 2.0492696e+03
211 5.5918616e-01 1.0302106e+02 1.1518024e+01 4.1525963e-01 1.0274274e+02 2.0584726e+03
212 4.4862384e-01 1.0287729e+02 1.1401869e+01 6.2149471e-01 1.0188323e+02 2.0678198e+03
213 5.3347605e-01 1.0290866e+02 1.1290745e+01 3.9158380e-01 1.0419424e+02 2.0791736e+03
214 4.8893017e-01 1.0343041e+02 1.1283503e+01 3.9234146e-01 1.0491482e+02 2.0854721e+03
215 4.1748324e-01 1.0480737e+02 1.1177406e+01 3.6892387e-01 1.0540508e+02 2.0962579e+03
216 6.0751575e-01 1.0492641e+02 1.1033770e+01 7.3265946e-01 1.0687166e+02 2.1054523e+03
217 6.3682479e-01 1.0470251e+02 1.1395184e+01 5.2977622e-01 1.0259713e+02 2.1148546e+03
218 5.2754736e-01 1.0321166e+02 1.0892085e+01 4.4410065e-01 1.0193158e+02 2.1259251e+03
