# epoch recerr_sq kldiv lact_dec valid_recerr_sq valid_kldiv duration
118 4.0871826e-01 7.1776787e+01 0.0000000e+00 3.7316903e-01 7.1574135e+01 5.8854006e+01
119 3.9538720e-01 7.2365005e+01 0.0000000e+00 3.6582839e-01 7.1575935e+01 5.9088348e+01
120 3.9139330e-01 7.3080460e+01 0.0000000e+00 3.8186020e-01 7.2287666e+01 5.9893373e+01
121 3.9327049e-01 7.3609344e+01 0.0000000e+00 3.8650930e-01 7.3542763e+01 6.0235809e+01
122 3.9921960e-01 7.4339844e+01 0.0000000e+00 3.6297759e-01 7.3957390e+01 6.0940771e+01
123 3.8402954e-01 7.5091644e+01 0.0000000e+00 3.6688134e-01 7.3971008e+01 6.1339069e+01
124 4.0055951e-01 7.5466927e+01 0.0000000e+00 4.8622477e-01 7.7387718e+01 6.1959328e+01
125 5.2896559e-01 7.6399933e+01 0.0000000e+00 3.7834671e-01 7.5427658e+01 6.2691023e+01
126 4.1729400e-01 7.6356003e+01 0.0000000e+00 3.9206883e-01 7.4140915e+01 6.3421706e+01
127 4.0399984e-01 7.5777893e+01 0.0000000e+00 3.7294975e-01 7.5511032e+01 6.3935202e+01
128 3.9732915e-01 7.6002647e+01 0.0000000e+00 3.6990708e-01 7.5111702e+01 6.4639949e+01
129 3.9461654e-01 7.5786224e+01 0.0000000e+00 3.7185434e-01 7.4642380e+01 6.5055826e+01
130 3.9107722e-01 7.5878967e+01 0.0000000e+00 3.6178666e-01 7.5048943e+01 6.5420298e+01
131 3.8213372e-01 7.6218025e+01 0.0000000e+00 3.5784936e-01 7.5344696e+01 6.6015270e+01
132 3.7511116e-01 7.6529289e+01 0.0000000e+00 3.8205054e-01 7.6826302e+01 6.6444112e+01
133 4.3251434e-01 7.6903442e+01 0.0000000e+00 3.7663320e-01 7.7350563e+01 6.7085222e+01
134 4.0874049e-01 7.7843872e+01 0.0000000e+00 4.5592135e-01 7.4615486e+01 6.7612441e+01
135 4.0814567e-01 7.7294891e+01 0.0000000e+00 3.8557258e-01 7.8245842e+01 6.8074555e+01
136 3.8969222e-01 7.8300201e+01 0.0000000e+00 3.6163878e-01 7.6808701e+01 6.8705694e+01
137 3.7724259e-01 7.8394226e+01 0.0000000e+00 3.6413175e-01 7.8098480e+01 6.9146674e+01
138 3.7415087e-01 7.8836853e+01 0.0000000e+00 3.5470593e-01 7.7879059e+01 6.9770586e+01
139 3.7068874e-01 7.9119568e+01 0.0000000e+00 3.5507378e-01 7.8514503e+01 7.0572673e+01
140 3.6404306e-01 7.9473015e+01 0.0000000e+00 3.5030660e-01 7.8668869e+01 7.1137051e+01
141 3.6774391e-01 7.9883591e+01 0.0000000e+00 3.4814316e-01 7.9211159e+01 7.1802609e+01
142 3.6727607e-01 8.0317589e+01 0.0000000e+00 3.6075005e-01 8.0613464e+01 7.2428559e+01
143 3.7174541e-01 8.1153450e+01 0.0000000e+00 3.5677606e-01 7.9640221e+01 7.2832151e+01
144 3.7537879e-01 8.1401390e+01 0.0000000e+00 3.5241523e-01 8.0610756e+01 7.2953212e+01
145 3.6318725e-01 8.1829895e+01 0.0000000e+00 3.4853709e-01 8.0896210e+01 7.3483058e+01
146 3.5993439e-01 8.2083382e+01 0.0000000e+00 3.4172684e-01 8.1518982e+01 7.4261072e+01
147 3.5686180e-01 8.2576019e+01 0.0000000e+00 3.4811834e-01 8.1164459e+01 7.4374864e+01
148 3.5686606e-01 8.2748856e+01 0.0000000e+00 3.4173369e-01 8.2037773e+01 7.4717414e+01
149 3.5816592e-01 8.3215324e+01 0.0000000e+00 3.5137519e-01 8.1808586e+01 7.5004403e+01
150 3.7015450e-01 8.3519684e+01 0.0000000e+00 3.8985166e-01 8.1498245e+01 7.5388026e+01
151 4.5132545e-01 8.3846603e+01 0.0000000e+00 5.0305146e-01 8.0152885e+01 7.5980630e+01
152 4.5026246e-01 8.3161995e+01 0.0000000e+00 3.5969818e-01 8.3183685e+01 7.6514503e+01
153 4.1374528e-01 8.2923561e+01 0.0000000e+00 3.4125686e-01 8.1924629e+01 7.6791905e+01
154 3.8893184e-01 8.2620850e+01 0.0000000e+00 3.4548217e-01 8.0492615e+01 7.7201847e+01
155 3.6849868e-01 8.1801682e+01 0.0000000e+00 3.3697337e-01 8.1151924e+01 7.8026592e+01
156 3.6046597e-01 8.2050018e+01 0.0000000e+00 3.2286409e-01 8.0570137e+01 7.8585988e+01
157 3.4640434e-01 8.1719353e+01 0.0000000e+00 3.2287675e-01 8.1161903e+01 7.8945056e+01
158 3.4600800e-01 8.2054138e+01 0.0000000e+00 3.2227120e-01 8.1640656e+01 7.9481496e+01
159 3.3827913e-01 8.2476326e+01 0.0000000e+00 3.1677312e-01 8.1453880e+01 8.0270773e+01
160 3.3558613e-01 8.2866249e+01 0.0000000e+00 3.1644148e-01 8.2291740e+01 8.0800782e+01
161 3.3584976e-01 8.3121117e+01 0.0000000e+00 3.0713856e-01 8.2573830e+01 8.1274655e+01
162 3.2817304e-01 8.3609749e+01 0.0000000e+00 3.0725381e-01 8.2649300e+01 8.2034778e+01
163 3.2882032e-01 8.3854469e+01 0.0000000e+00 3.0405971e-01 8.3056778e+01 8.2727469e+01
164 3.3542335e-01 8.4352112e+01 0.0000000e+00 3.0693951e-01 8.2621719e+01 8.3321922e+01
165 3.3044341e-01 8.4186905e+01 0.0000000e+00 3.3826348e-01 8.4915604e+01 8.4042941e+01
166 3.6535662e-01 8.4769951e+01 0.0000000e+00 3.0153066e-01 8.4122696e+01 8.4345422e+01
167 3.2854903e-01 8.5018661e+01 0.0000000e+00 3.2535127e-01 8.2711876e+01 8.4744328e+01
168 3.3356440e-01 8.4778137e+01 0.0000000e+00 3.0427390e-01 8.4497917e+01 8.5346141e+01
169 3.4275833e-01 8.4979492e+01 0.0000000e+00 3.3768138e-01 8.5292503e+01 8.6040214e+01
170 3.8526249e-01 8.5202148e+01 0.0000000e+00 3.1165391e-01 8.5064491e+01 8.6417904e+01
171 3.2855579e-01 8.5365479e+01 0.0000000e+00 3.1568176e-01 8.2829369e+01 8.7084042e+01
172 3.3932152e-01 8.4610947e+01 0.0000000e+00 3.1366122e-01 8.4342995e+01 8.8020743e+01
173 3.3800611e-01 8.4613304e+01 0.0000000e+00 3.1207153e-01 8.3668732e+01 8.8522639e+01
174 3.3098128e-01 8.4289612e+01 0.0000000e+00 2.9829487e-01 8.4282738e+01 8.8828124e+01
175 3.5306776e-01 8.4269005e+01 0.0000000e+00 3.1964040e-01 8.3850609e+01 8.9722683e+01
176 3.2481015e-01 8.4485687e+01 0.0000000e+00 2.8842589e-01 8.2771790e+01 9.0237468e+01
177 3.1023970e-01 8.4376328e+01 0.0000000e+00 2.7621570e-01 8.3447235e+01 9.0519812e+01
178 3.0533451e-01 8.4493866e+01 0.0000000e+00 2.8051963e-01 8.4097855e+01 9.1152161e+01
179 3.1216335e-01 8.4676857e+01 0.0000000e+00 2.9234263e-01 8.4707893e+01 9.1664062e+01
180 3.6235359e-01 8.4658051e+01 0.0000000e+00 3.7491277e-01 8.6188164e+01 9.2062047e+01
181 3.7987190e-01 8.5087219e+01 0.0000000e+00 3.1426948e-01 8.4619392e+01 9.2995543e+01
182 3.2995024e-01 8.5069313e+01 0.0000000e+00 2.7565059e-01 8.4095001e+01 9.3555015e+01
183 3.1695560e-01 8.4949280e+01 0.0000000e+00 3.2590032e-01 8.2069786e+01 9.4100092e+01
184 3.2723573e-01 8.4280128e+01 0.0000000e+00 2.8584078e-01 8.4269424e+01 9.4783612e+01
185 3.0779156e-01 8.4628372e+01 0.0000000e+00 2.8597915e-01 8.3032761e+01 9.5469784e+01
186 3.0526200e-01 8.4409332e+01 0.0000000e+00 2.7633801e-01 8.4222015e+01 9.5874970e+01
187 3.0003291e-01 8.4850960e+01 0.0000000e+00 2.6479122e-01 8.3384865e+01 9.6308135e+01
188 3.0036482e-01 8.4932396e+01 0.0000000e+00 2.7955821e-01 8.3656067e+01 9.6707108e+01
189 3.0213052e-01 8.4978554e+01 0.0000000e+00 2.7991354e-01 8.4869240e+01 9.7278305e+01
190 3.0365729e-01 8.5339638e+01 0.0000000e+00 2.7444169e-01 8.4831169e+01 9.7547226e+01
191 2.9643744e-01 8.5681885e+01 0.0000000e+00 2.7131337e-01 8.4335869e+01 9.7915578e+01
192 3.0881974e-01 8.5848480e+01 0.0000000e+00 3.0528909e-01 8.3415833e+01 9.8177608e+01
193 3.3153903e-01 8.5926407e+01 0.0000000e+00 3.4140202e-01 8.3476364e+01 9.8647983e+01
194 3.3362296e-01 8.5845238e+01 0.0000000e+00 2.6552448e-01 8.4740959e+01 9.9381328e+01
195 2.8762242e-01 8.5851242e+01 0.0000000e+00 2.5782350e-01 8.5067909e+01 9.9705470e+01
